Date,Total (house and land),House only,Land only
2011-07-31,89.76666667,88.4,92.8
2011-10-31,90.13333333,88.8,93.06666667
2012-01-31,90.7,89.33333333,93.6
2012-04-30,91.26666667,89.9,94.06666667
2012-07-31,91.86666667,90.6,94.53333333
2012-10-31,92.3,91.13333333,94.73333333
2013-01-31,92.7,91.66666667,94.9
2013-04-30,93.06666667,92.03333333,95.23333333
2013-07-31,93.5,92.53333333,95.5
2013-10-31,93.76666667,92.83333333,95.7
2014-01-31,93.96666667,93.06666667,95.83333333
2014-04-30,94.53333333,93.76666667,96.1
2014-07-31,94.86666667,94.23333333,96.36666667
2014-10-31,95.3,94.6,96.63333333
2015-01-31,95.5,94.83333333,96.83333333
2015-04-30,95.66666667,95.03333333,97
2015-07-31,96.06666667,95.3,97.8
2015-10-31,96.63333333,95.96666667,98.03333333
2016-01-31,97,96.53333333,98.1
2016-04-30,97.5,97.26666667,98.1
2016-07-31,98.7,98.66666667,98.6
2016-10-31,99.36666667,99.46666667,99.06666667
2017-01-31,100,99.93333333,100.1333333
2017-04-30,100.9,100.6,101.5
2017-07-31,102.4666667,102.1666667,103.1666667
2017-10-31,103.0666667,102.9333333,103.5
2018-01-31,103.3,103.2,103.6666667
2018-04-30,103.1,102.8333333,103.7333333
2018-07-31,103.2,102.9333333,103.8666667
2018-10-31,103.3,102.9333333,103.9666667
2019-01-31,103.2666667,102.8666667,104.1
2019-04-30,103.2,102.7333333,104.1
2019-07-31,103,102.3666667,104.1666667
2019-10-31,103.1666667,102.5333333,104.2
2020-01-31,103.3333333,102.6333333,104.5
2020-04-30,104,103.3666667,105.0666667
2020-07-31,104.4,103.7333333,105.4
2020-10-31,106.3333333,106,106.8333333
2021-01-31,108.3666667,108.5333333,108.0666667
2021-04-30,112.6,112.5666667,111.2333333
2021-07-31,116.6333333,117.7,113.1
2021-10-31,118.7,120.3333333,113.9
2022-01-31,121.0666667,123.2,115.2666667
2022-04-30,124.3333333,127.5,116.4333333
2022-07-31,125.8666667,129.5333333,117
2022-10-31,125.9333333,129.6333333,117
2023-01-31,125.5,129.25,116.6
